,Pupil Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
338,Lauretta Greenhalf,2013-09-08,2022-09-08,September,Thursday,14
339,Oberon Pollie,2011-09-22,2022-09-22,September,Thursday,14
340,Oralla Braffington,2011-09-01,2022-09-01,September,Thursday,14
341,Adara Beringer,2011-09-01,2022-09-01,September,Thursday,14
342,Carmelina Ashbridge,2012-09-08,2022-09-08,September,Thursday,14
343,Zedekiah Anstie,2011-09-08,2022-09-08,September,Thursday,14
344,Livvyy Vasquez,2011-09-15,2022-09-15,September,Thursday,14
345,Berthe Sheerman,2013-09-29,2022-09-29,September,Thursday,14
346,Patsy Piner,2013-09-29,2022-09-29,September,Thursday,14
347,Olly Navarijo,2012-09-08,2022-09-08,September,Thursday,14
348,Uri Cowterd,2011-12-12,2022-12-12,December,Monday,20
349,Pattie Chapelle,2011-12-19,2022-12-19,December,Monday,20
350,Marje Antoshin,2014-12-26,2022-12-26,December,Monday,20
351,Kienan Echalie,2014-12-19,2022-12-19,December,Monday,20
352,Ivar Verbeek,2011-12-26,2022-12-26,December,Monday,20
353,Templeton Reynard,2014-12-19,2022-12-19,December,Monday,20
354,Rex Adds,2014-12-26,2022-12-26,December,Monday,20
355,Mikaela Madgwick,2012-12-05,2022-12-05,December,Monday,20
356,Billy Dionis,2013-12-12,2022-12-12,December,Monday,20
357,Quinlan Franckton,2014-12-26,2022-12-26,December,Monday,20
358,Chickie Asch,2012-12-12,2022-12-12,December,Monday,20
359,Odelia Bayston,2011-12-19,2022-12-19,December,Monday,20
360,Blair Troyes,2013-12-19,2022-12-19,December,Monday,20
361,Lukas Gallon,2011-12-12,2022-12-12,December,Monday,20
362,Kalindi Abella,2011-12-05,2022-12-05,December,Monday,20
363,Nick Jurzyk,2014-12-26,2022-12-26,December,Monday,20
364,Eleonora Manntschke,2014-12-12,2022-12-12,December,Monday,20
365,Cly Chevis,2012-12-19,2022-12-19,December,Monday,20
366,Geneva Bakesef,2014-12-05,2022-12-05,December,Monday,20
367,Lawton Randles,2011-12-12,2022-12-12,December,Monday,20
368,Findlay Schonfelder,2014-01-19,2022-01-19,January,Wednesday,14
369,Isaiah Antowski,2014-01-12,2022-01-12,January,Wednesday,14
370,Jewelle Skaif,2015-01-19,2022-01-19,January,Wednesday,14
371,Anny Casterot,2015-01-26,2022-01-26,January,Wednesday,14
372,James Bartles,2012-01-12,2022-01-12,January,Wednesday,14
373,Emili Matyja,2013-01-05,2022-01-05,January,Wednesday,14
374,Rosalynd Henrion,2013-01-26,2022-01-26,January,Wednesday,14
375,Armstrong Nutman,2012-01-05,2022-01-05,January,Wednesday,14
376,Cecil Gavaghan,2013-01-12,2022-01-12,January,Wednesday,14
377,Ingunna Hauck,2015-01-26,2022-01-26,January,Wednesday,14
378,Vincent Seedull,2012-01-12,2022-01-12,January,Wednesday,14
379,Ossie Woodard,2012-01-12,2022-01-12,January,Wednesday,14
380,Corey Garnsworthy,2012-01-12,2022-01-12,January,Wednesday,14
381,Cassandry Trevaskus,2015-01-05,2022-01-05,January,Wednesday,14
382,Jaquelyn Jantzen,2012-10-20,2022-10-20,October,Thursday,14
383,Issi Amey,2012-10-20,2022-10-20,October,Thursday,14
384,Stacy Conneely,2013-10-13,2022-10-13,October,Thursday,14
385,Denna Bulluck,2011-10-20,2022-10-20,October,Thursday,14
386,Maximilien Shipcott,2014-10-20,2022-10-20,October,Thursday,14
387,Linda Haberjam,2011-10-06,2022-10-06,October,Thursday,14
388,Ivonne World,2011-10-06,2022-10-06,October,Thursday,14
389,Magdalene Treend,2011-10-20,2022-10-20,October,Thursday,14
390,Amitie Elvy,2013-10-06,2022-10-06,October,Thursday,14
391,Natalie Swynfen,2013-10-06,2022-10-06,October,Thursday,14
392,Alix McGonnell,2012-10-20,2022-10-20,October,Thursday,14
393,Maure Kenwell,2012-10-20,2022-10-20,October,Thursday,14
394,Karel Hovenden,2014-10-06,2022-10-06,October,Thursday,14
395,Maxine Peizer,2013-10-06,2022-10-06,October,Thursday,14
396,Davina Gradwell,2011-11-07,2022-11-07,November,Monday,11
397,Clayborn Benazet,2014-11-21,2022-11-21,November,Monday,11
398,Ree Salmen,2013-11-14,2022-11-14,November,Monday,11
399,Gifford McKeachie,2014-11-21,2022-11-21,November,Monday,11
400,Orelia Di Domenico,2014-11-07,2022-11-07,November,Monday,11
401,Bibbie Bortolomei,2012-11-14,2022-11-14,November,Monday,11
402,Shandee Scard,2014-11-21,2022-11-21,November,Monday,11
403,Analiese Bliven,2013-11-07,2022-11-07,November,Monday,11
404,Mirilla Davidow,2014-11-21,2022-11-21,November,Monday,11
405,Russell Constantine,2012-11-14,2022-11-14,November,Monday,11
406,Harlin Hallad,2012-11-28,2022-11-28,November,Monday,11
407,Nicolea Selby,2014-04-04,2022-04-04,April,Monday,10
408,Verina Knoton,2014-04-04,2022-04-04,April,Monday,10
409,Clo Knoton,2014-04-25,2022-04-25,April,Monday,10
410,Sayer Romain,2014-04-11,2022-04-11,April,Monday,10
